id,full_name,gender,part_time_job,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,average_score
553,Bruce Woods,male,False,16.0,95.0,61.0,68.0,75.0,64.0,76.0,66.0,77.33
554,Christopher Hines,male,False,26.0,90.0,64.0,94.0,84.0,66.0,61.0,72.0,71.67
555,Theodore Williams,male,False,30.0,96.0,89.0,73.0,75.0,99.0,89.0,71.0,91.33
556,Jennifer Valdez,female,True,2.0,80.0,81.0,92.0,73.0,71.0,71.0,84.0,77.33
557,Alexandra Day,female,False,34.0,87.0,83.0,75.0,73.0,92.0,91.0,71.0,87.0
558,John Pacheco,male,False,0.0,94.0,75.0,91.0,64.0,67.0,93.0,65.0,87.33
559,Sherry Brown,female,False,3.0,87.0,82.0,88.0,100.0,73.0,96.0,75.0,88.33
560,Douglas Clark,male,False,30.0,95.0,97.0,88.0,77.0,96.0,96.0,74.0,96.0
561,Alex Farmer,male,True,15.0,85.0,96.0,82.0,64.0,82.0,94.0,81.0,91.67
562,Brandon Gonzales,male,False,1.0,67.0,65.0,77.0,72.0,94.0,88.0,77.0,73.33
563,Wayne Trevino,male,False,6.0,84.0,100.0,92.0,82.0,85.0,70.0,69.0,84.67
564,Pamela Horne,female,False,1.0,83.0,88.0,90.0,100.0,71.0,98.0,96.0,89.67
565,Michael Schaefer,male,True,5.0,67.0,78.0,68.0,51.0,77.0,72.0,78.0,72.33
566,Carlos Ramirez,male,False,30.0,75.0,92.0,72.0,88.0,92.0,77.0,84.0,81.33
567,Antonio Lucero,male,False,8.0,67.0,76.0,70.0,73.0,81.0,85.0,80.0,76.0
568,Terry Ashley,male,True,5.0,67.0,54.0,51.0,72.0,75.0,60.0,88.0,60.33
569,Rita Cochran,female,False,5.0,72.0,91.0,78.0,97.0,86.0,93.0,77.0,85.33
570,Joseph Gregory,male,False,4.0,78.0,98.0,76.0,68.0,86.0,91.0,82.0,89.0
571,Alexandra Robinson,female,False,47.0,85.0,87.0,92.0,96.0,92.0,90.0,88.0,87.33
572,Tina Sparks,female,False,16.0,100.0,70.0,69.0,61.0,100.0,65.0,81.0,78.33
573,Christopher Buchanan,male,True,3.0,56.0,59.0,89.0,68.0,79.0,83.0,68.0,66.0
574,Christina Guerrero,female,False,32.0,93.0,75.0,83.0,99.0,100.0,91.0,74.0,86.33
575,Jessica Hutchinson,female,False,31.0,89.0,91.0,85.0,69.0,76.0,92.0,94.0,90.67
576,Tyler Carrillo,male,False,6.0,59.0,88.0,74.0,92.0,72.0,97.0,64.0,81.33
577,Lindsay Brady,female,False,16.0,99.0,70.0,74.0,65.0,99.0,74.0,62.0,81.0
578,Gary Rivera,male,False,34.0,89.0,89.0,85.0,74.0,78.0,87.0,82.0,88.33
579,Luke Moore,male,False,26.0,86.0,63.0,78.0,78.0,80.0,67.0,97.0,72.0
580,Tanya Green,female,False,21.0,79.0,65.0,91.0,65.0,61.0,88.0,95.0,77.33
581,Bryan Lee,male,False,46.0,96.0,89.0,91.0,90.0,90.0,91.0,99.0,92.0
582,Melanie Bridges,female,False,48.0,95.0,90.0,85.0,90.0,96.0,89.0,96.0,91.33
583,Eric Bowers,male,True,46.0,96.0,85.0,90.0,95.0,100.0,96.0,88.0,92.33
584,Meredith Reed,female,True,28.0,95.0,80.0,64.0,97.0,85.0,94.0,60.0,89.67
585,David Brown,male,True,2.0,80.0,62.0,84.0,95.0,71.0,85.0,87.0,75.67
586,William Johns,male,True,32.0,86.0,70.0,73.0,85.0,67.0,91.0,98.0,82.33
587,Eric Patton,male,True,5.0,42.0,95.0,99.0,61.0,62.0,77.0,99.0,71.33
588,Wendy Warner,female,False,31.0,80.0,93.0,93.0,94.0,81.0,81.0,78.0,84.67
589,Timothy Powell,male,False,1.0,79.0,97.0,100.0,94.0,65.0,62.0,76.0,79.33
590,Victoria Thompson,female,True,4.0,43.0,63.0,91.0,67.0,74.0,71.0,88.0,59.0
591,Jeremy Brown,male,False,8.0,58.0,84.0,95.0,66.0,99.0,91.0,70.0,77.67
592,Barbara Schneider,female,False,23.0,86.0,73.0,83.0,93.0,46.0,91.0,70.0,83.33
593,Lindsay Morales,female,False,23.0,96.0,91.0,97.0,84.0,89.0,82.0,75.0,89.67
594,Gary Patel,male,False,28.0,91.0,88.0,98.0,89.0,75.0,91.0,92.0,90.0
595,Michelle Ortiz,female,False,7.0,85.0,62.0,77.0,62.0,80.0,88.0,83.0,78.33
596,Susan Lynch,female,False,5.0,87.0,91.0,93.0,92.0,97.0,95.0,99.0,91.0
597,Tammy Hernandez,female,False,4.0,60.0,91.0,85.0,67.0,98.0,61.0,64.0,70.67
598,Jennifer Guerra,female,False,26.0,76.0,85.0,67.0,60.0,100.0,63.0,64.0,74.67
599,Kelly Schwartz,female,False,33.0,84.0,89.0,74.0,79.0,86.0,93.0,95.0,88.67
600,Brittany Orozco,female,False,34.0,87.0,94.0,74.0,84.0,77.0,82.0,85.0,87.67
601,Samantha Alvarado,female,True,16.0,82.0,79.0,64.0,75.0,93.0,82.0,60.0,81.0
602,Christopher Anderson,male,False,3.0,64.0,61.0,73.0,70.0,87.0,75.0,100.0,66.67
603,William Smith,male,False,25.0,77.0,80.0,88.0,84.0,84.0,92.0,82.0,83.0
604,Courtney Patterson,female,False,4.0,86.0,82.0,90.0,69.0,66.0,93.0,94.0,87.0
605,Kevin Hess,male,False,4.0,81.0,84.0,76.0,88.0,84.0,89.0,87.0,84.67
606,Melissa Higgins,female,False,21.0,91.0,90.0,92.0,78.0,67.0,86.0,71.0,89.0
607,Elizabeth Chavez,female,False,4.0,72.0,99.0,61.0,67.0,95.0,98.0,89.0,89.67
608,Mary Taylor,female,False,24.0,80.0,70.0,80.0,96.0,72.0,99.0,65.0,83.0
609,Joshua Parker,male,False,16.0,90.0,89.0,98.0,70.0,79.0,60.0,92.0,79.67
610,Joshua Kelly,male,False,2.0,72.0,51.0,52.0,98.0,50.0,90.0,63.0,71.0
611,Travis Ross,male,False,35.0,93.0,85.0,89.0,93.0,90.0,91.0,88.0,89.67
612,Kenneth Buchanan,male,False,24.0,95.0,85.0,90.0,94.0,91.0,84.0,85.0,88.0
613,Ryan Clarke,male,False,46.0,86.0,93.0,89.0,90.0,100.0,86.0,93.0,88.33
614,Gina Solomon,female,False,1.0,89.0,55.0,89.0,67.0,55.0,64.0,70.0,69.33
615,David Madden,male,False,26.0,90.0,75.0,67.0,85.0,64.0,95.0,96.0,86.67
616,William Brennan,male,False,5.0,79.0,95.0,81.0,67.0,66.0,71.0,66.0,81.67
617,Judy Mckenzie,female,True,17.0,86.0,88.0,98.0,66.0,62.0,95.0,90.0,89.67
618,Logan Lindsey,male,False,4.0,83.0,78.0,68.0,72.0,77.0,89.0,70.0,83.33
619,Kyle Williams,male,False,27.0,85.0,92.0,62.0,95.0,65.0,89.0,95.0,88.67
620,Mark Padilla,male,False,0.0,66.0,78.0,86.0,87.0,64.0,65.0,64.0,69.67
621,Eugene Clark,male,False,16.0,93.0,80.0,60.0,62.0,43.0,68.0,67.0,80.33
622,Sean Wagner,male,False,14.0,65.0,89.0,79.0,95.0,71.0,61.0,62.0,71.67
623,Christine Larson,female,True,5.0,52.0,66.0,98.0,83.0,92.0,82.0,91.0,66.67
624,Melinda Freeman,female,False,31.0,90.0,80.0,84.0,70.0,65.0,89.0,64.0,86.33
625,Elizabeth Smith,female,False,4.0,83.0,89.0,99.0,100.0,73.0,86.0,88.0,86.0
626,Walter King,male,False,5.0,62.0,89.0,72.0,68.0,85.0,80.0,75.0,77.0
627,Lisa Bean,female,False,11.0,98.0,72.0,99.0,84.0,60.0,95.0,93.0,88.33
628,Douglas Hayes,male,False,12.0,76.0,75.0,74.0,67.0,76.0,82.0,79.0,77.67
629,Heather Jefferson,female,False,5.0,97.0,62.0,98.0,70.0,67.0,71.0,70.0,76.67
630,Melinda Byrd,female,True,1.0,63.0,60.0,95.0,99.0,87.0,58.0,66.0,60.33
631,Alexander Burnett,male,False,2.0,98.0,99.0,64.0,88.0,72.0,87.0,99.0,94.67
632,Maria Campos,female,True,1.0,78.0,84.0,84.0,61.0,88.0,67.0,92.0,76.33
633,Lindsey Anthony,female,False,30.0,85.0,77.0,89.0,77.0,84.0,71.0,71.0,77.67
634,Darryl Schultz,male,False,0.0,59.0,100.0,84.0,93.0,70.0,56.0,74.0,71.67
635,Bethany French,female,False,6.0,99.0,77.0,88.0,60.0,93.0,61.0,96.0,79.0
636,Tyler Scott,male,False,24.0,76.0,62.0,86.0,80.0,47.0,85.0,71.0,74.33
637,Patricia Hall,female,False,26.0,80.0,90.0,85.0,89.0,85.0,80.0,68.0,83.33
638,Ryan Williams,male,False,0.0,82.0,74.0,92.0,50.0,77.0,98.0,100.0,84.67
639,Levi Mason,male,False,18.0,89.0,64.0,72.0,61.0,75.0,68.0,83.0,73.67
640,Michael Vang,male,False,20.0,89.0,79.0,75.0,80.0,97.0,94.0,68.0,87.33
641,April Humphrey,female,False,23.0,86.0,89.0,94.0,95.0,60.0,90.0,90.0,88.33
642,Steven Hancock,male,True,4.0,65.0,76.0,92.0,86.0,93.0,61.0,97.0,67.33
643,Chelsea Olson,female,False,30.0,77.0,95.0,77.0,84.0,60.0,90.0,89.0,87.33
644,Emily Huang,female,False,34.0,88.0,85.0,68.0,62.0,64.0,99.0,66.0,90.67
645,Rachel Jones,female,False,26.0,98.0,77.0,94.0,87.0,44.0,85.0,61.0,86.67
646,Philip Walker,male,False,27.0,84.0,86.0,90.0,80.0,72.0,99.0,85.0,89.67
647,Laura Rivera,female,False,18.0,91.0,85.0,66.0,83.0,70.0,71.0,80.0,82.33
648,Pamela Henry,female,False,39.0,97.0,95.0,94.0,90.0,86.0,85.0,95.0,92.33
649,Nicole Davidson,female,False,29.0,77.0,88.0,63.0,87.0,71.0,93.0,84.0,86.0
650,Jeffery Parker,male,False,27.0,100.0,84.0,93.0,96.0,97.0,70.0,95.0,84.67
651,Christopher Banks,male,True,17.0,93.0,70.0,62.0,99.0,63.0,83.0,60.0,82.0
652,Tara Griffin,female,True,31.0,93.0,99.0,79.0,78.0,64.0,87.0,76.0,93.0
653,Lisa Lloyd,female,True,13.0,94.0,89.0,74.0,75.0,73.0,78.0,61.0,87.0
654,Elizabeth Maldonado,female,False,12.0,88.0,86.0,79.0,93.0,68.0,92.0,99.0,88.67
655,Samuel Anderson,male,True,0.0,93.0,95.0,94.0,70.0,83.0,86.0,94.0,91.33
656,Xavier Johnson,male,False,21.0,83.0,75.0,84.0,68.0,95.0,80.0,88.0,79.33
657,Lauren Cordova,female,True,28.0,96.0,93.0,100.0,96.0,97.0,81.0,72.0,90.0
658,Amanda Hawkins,female,True,35.0,87.0,88.0,93.0,88.0,96.0,85.0,94.0,86.67
659,Donald Coleman,male,False,24.0,95.0,82.0,84.0,69.0,63.0,85.0,69.0,87.33
660,Phillip Bennett,male,False,28.0,87.0,87.0,86.0,84.0,66.0,83.0,81.0,85.67
661,John George,male,False,0.0,43.0,95.0,64.0,95.0,66.0,67.0,74.0,68.33
662,Katherine Moore,female,True,0.0,40.0,100.0,88.0,79.0,71.0,86.0,89.0,75.33
663,Jose Dominguez,male,False,3.0,64.0,70.0,98.0,82.0,100.0,72.0,78.0,68.67
664,Lauren Morrow,female,False,16.0,72.0,79.0,95.0,68.0,75.0,70.0,88.0,73.67
665,Katie Davenport,female,False,26.0,77.0,96.0,86.0,84.0,90.0,85.0,91.0,86.0
666,Michelle Martinez,female,True,4.0,40.0,86.0,53.0,63.0,50.0,87.0,77.0,71.0
667,Jeremiah Stanley,male,False,24.0,100.0,89.0,90.0,96.0,72.0,90.0,86.0,93.0
668,Isaac Tucker,male,False,22.0,89.0,93.0,95.0,88.0,72.0,76.0,71.0,86.0
669,Hannah Garcia,female,True,14.0,97.0,74.0,76.0,72.0,62.0,69.0,90.0,80.0
670,Thomas Nelson,male,False,21.0,100.0,77.0,74.0,61.0,81.0,96.0,96.0,91.0
671,William Kennedy,male,False,29.0,81.0,88.0,85.0,89.0,81.0,91.0,98.0,86.67
672,Jennifer Williams,female,False,3.0,100.0,91.0,53.0,78.0,55.0,91.0,74.0,94.0
673,Jeffrey Price,male,False,4.0,80.0,65.0,96.0,73.0,84.0,92.0,73.0,79.0
674,Zachary Burns,male,False,19.0,79.0,88.0,83.0,84.0,78.0,72.0,79.0,79.67
675,Curtis Duffy,male,False,33.0,96.0,64.0,100.0,87.0,88.0,60.0,62.0,73.33
676,Allison Alvarado,female,False,24.0,95.0,81.0,91.0,62.0,36.0,79.0,69.0,85.0
677,Jeffery Kelley,male,False,29.0,86.0,68.0,65.0,64.0,95.0,82.0,87.0,78.67
678,Kenneth Clark,male,False,27.0,86.0,97.0,72.0,90.0,95.0,99.0,76.0,94.0
679,Hayley Case,female,False,20.0,87.0,68.0,66.0,83.0,92.0,81.0,80.0,78.67
680,Vanessa Martinez,female,False,35.0,94.0,87.0,100.0,90.0,86.0,86.0,90.0,89.0
681,Tara Thomas,female,False,29.0,88.0,71.0,87.0,85.0,100.0,78.0,78.0,79.0
682,Aaron Williamson,male,False,0.0,88.0,69.0,76.0,64.0,90.0,78.0,80.0,78.33
683,Phillip Nelson,male,False,10.0,76.0,61.0,68.0,88.0,86.0,87.0,66.0,74.67
684,Michael Hinton,male,False,29.0,84.0,66.0,99.0,80.0,71.0,88.0,89.0,79.33
685,Alex Shelton,male,False,17.0,96.0,77.0,91.0,85.0,69.0,91.0,91.0,88.0
686,Ross Esparza,male,True,1.0,57.0,75.0,64.0,85.0,53.0,95.0,81.0,75.67
687,Lisa Murphy,female,False,14.0,93.0,79.0,82.0,67.0,64.0,90.0,65.0,87.33
688,Richard Gibson,male,False,24.0,88.0,84.0,61.0,61.0,79.0,62.0,99.0,78.0
689,Jackson Olson,male,False,35.0,89.0,99.0,86.0,97.0,98.0,97.0,93.0,95.0
690,Michael Waters,male,False,19.0,80.0,88.0,94.0,94.0,100.0,99.0,99.0,89.0
691,Daniel Mcneil,male,False,23.0,94.0,92.0,61.0,87.0,61.0,94.0,69.0,93.33
692,James Mcgee,male,False,14.0,99.0,74.0,98.0,69.0,69.0,64.0,96.0,79.0
693,Dennis Park,male,False,21.0,81.0,72.0,87.0,62.0,69.0,93.0,72.0,82.0
694,Gregory Jones,male,False,18.0,91.0,61.0,95.0,82.0,77.0,87.0,95.0,79.67
695,Barbara Petersen,female,False,16.0,71.0,100.0,99.0,95.0,91.0,96.0,96.0,89.0
696,Andrea Baker,female,False,2.0,61.0,66.0,78.0,79.0,79.0,96.0,81.0,74.33
697,Robert Holmes,male,False,16.0,87.0,89.0,60.0,66.0,79.0,81.0,65.0,85.67
698,Autumn Jones,female,False,29.0,93.0,69.0,79.0,78.0,77.0,73.0,77.0,78.33
699,Richard Davis,male,False,35.0,92.0,88.0,87.0,98.0,96.0,85.0,96.0,88.33
700,Anthony Armstrong,male,False,11.0,96.0,87.0,99.0,65.0,98.0,79.0,93.0,87.33
701,Julian Ortiz,male,False,4.0,83.0,75.0,77.0,61.0,93.0,61.0,75.0,73.0
702,Melinda Sanchez,female,False,15.0,78.0,84.0,79.0,96.0,76.0,71.0,71.0,77.67
703,James Carter,male,True,25.0,82.0,74.0,84.0,74.0,86.0,81.0,100.0,79.0
704,Alejandra Johns,female,False,31.0,94.0,91.0,68.0,61.0,34.0,60.0,63.0,81.67
705,Susan Long,female,False,30.0,93.0,73.0,97.0,89.0,88.0,63.0,70.0,76.33
706,Sharon Allen,female,False,17.0,80.0,95.0,98.0,95.0,96.0,97.0,85.0,90.67
707,Leah Brown,female,False,0.0,55.0,99.0,71.0,94.0,69.0,87.0,84.0,80.33
708,Maria Barker,female,True,10.0,94.0,71.0,83.0,76.0,99.0,95.0,94.0,86.67
709,Kelly Church,female,False,22.0,72.0,72.0,85.0,90.0,75.0,94.0,65.0,79.33
710,Michael Walsh,male,False,16.0,98.0,89.0,75.0,68.0,87.0,69.0,96.0,85.33
711,Alyssa Gallagher,female,False,11.0,71.0,98.0,66.0,65.0,78.0,81.0,82.0,83.33
712,Kelly Morris,female,False,35.0,99.0,95.0,89.0,90.0,95.0,98.0,99.0,97.33
713,Ryan Brown,male,False,25.0,97.0,67.0,86.0,95.0,65.0,91.0,76.0,85.0
714,Maria Hall,female,False,5.0,85.0,64.0,99.0,93.0,89.0,61.0,67.0,70.0
715,Mark Brown,male,False,35.0,100.0,88.0,98.0,90.0,93.0,95.0,98.0,94.33
716,William Kerr,male,False,15.0,89.0,63.0,73.0,83.0,74.0,91.0,83.0,81.0
717,Jake Gonzalez,male,False,21.0,76.0,87.0,63.0,92.0,93.0,87.0,88.0,83.33
718,Theresa Gray,female,False,3.0,100.0,68.0,80.0,75.0,85.0,82.0,85.0,83.33
719,Ashley Ayers,female,False,1.0,77.0,99.0,99.0,76.0,70.0,80.0,90.0,85.33
720,Ann Mccann,female,False,32.0,85.0,86.0,84.0,81.0,92.0,84.0,93.0,85.0
721,Curtis Bennett,male,False,25.0,70.0,83.0,63.0,86.0,97.0,88.0,79.0,80.33
722,Debra Gutierrez,female,False,26.0,76.0,83.0,90.0,68.0,96.0,94.0,87.0,84.33
723,Linda West,female,True,34.0,75.0,82.0,89.0,65.0,85.0,89.0,81.0,82.0
724,Justin Hughes,male,False,25.0,97.0,65.0,96.0,87.0,87.0,95.0,100.0,85.67
725,Jose Jackson,male,True,3.0,72.0,81.0,61.0,73.0,96.0,72.0,86.0,75.0
726,Larry Smith,male,True,12.0,84.0,69.0,68.0,92.0,86.0,67.0,73.0,73.33
727,Austin Dunn,male,False,25.0,84.0,94.0,65.0,74.0,92.0,81.0,79.0,86.33
728,Michael Heath,male,False,50.0,94.0,87.0,99.0,99.0,86.0,86.0,85.0,89.0
729,Beth Acosta,female,False,15.0,80.0,91.0,100.0,87.0,87.0,94.0,100.0,88.33
730,Tracie Weeks,female,False,34.0,87.0,98.0,79.0,87.0,92.0,80.0,93.0,88.33
731,Brandi Ray,female,False,27.0,93.0,94.0,87.0,92.0,99.0,93.0,88.0,93.33
732,Carla Brandt,female,False,5.0,87.0,69.0,96.0,61.0,72.0,78.0,99.0,78.0
733,Thomas Cruz,male,False,0.0,64.0,51.0,70.0,94.0,86.0,65.0,80.0,60.0
734,Nicholas Martin,male,False,15.0,96.0,73.0,91.0,71.0,72.0,74.0,76.0,81.0
735,Breanna Lee,female,False,31.0,97.0,62.0,93.0,80.0,96.0,94.0,67.0,84.33
736,Angie White,female,False,0.0,62.0,79.0,75.0,65.0,71.0,75.0,93.0,72.0
737,William Lester,male,True,5.0,97.0,79.0,96.0,94.0,59.0,83.0,64.0,86.33
738,Joshua Miller,male,False,35.0,85.0,100.0,90.0,93.0,94.0,97.0,98.0,94.0
739,Thomas Stone,male,False,27.0,68.0,95.0,66.0,65.0,89.0,84.0,100.0,82.33
740,Sarah King,female,True,1.0,45.0,68.0,99.0,91.0,88.0,63.0,61.0,58.67
741,Jeffery Carlson,male,True,2.0,86.0,79.0,86.0,73.0,53.0,84.0,79.0,83.0
742,Ashley Gutierrez,female,False,34.0,97.0,94.0,73.0,98.0,87.0,97.0,98.0,96.0
743,Adam Herring,male,True,18.0,93.0,67.0,65.0,61.0,61.0,96.0,65.0,85.33
744,David Ramirez,male,False,14.0,85.0,93.0,75.0,72.0,84.0,63.0,63.0,80.33
745,Angela Brown,female,False,6.0,88.0,88.0,98.0,92.0,71.0,66.0,90.0,80.67
746,Eric Jones,male,False,2.0,100.0,67.0,98.0,71.0,92.0,79.0,99.0,82.0
747,Angel Garner,male,False,19.0,93.0,74.0,88.0,92.0,77.0,89.0,96.0,85.33
748,Lisa Cowan,female,False,1.0,70.0,63.0,73.0,97.0,63.0,61.0,90.0,64.67
749,Nicole Perry,female,False,13.0,82.0,67.0,94.0,88.0,86.0,89.0,98.0,79.33
750,Annette Wells,female,True,3.0,41.0,76.0,94.0,93.0,79.0,84.0,96.0,67.0
751,Ian Scott,male,False,21.0,94.0,74.0,74.0,89.0,67.0,93.0,96.0,87.0
752,Kari Hernandez,female,True,29.0,67.0,69.0,75.0,94.0,98.0,80.0,74.0,72.0
753,Mary Haynes,female,False,11.0,89.0,75.0,64.0,81.0,66.0,82.0,92.0,82.0
754,Raymond Smith,male,False,23.0,82.0,82.0,100.0,93.0,91.0,61.0,83.0,75.0
755,Christopher Ayala,male,True,30.0,96.0,79.0,93.0,92.0,92.0,71.0,87.0,82.0
756,Jacqueline Frazier,female,False,13.0,94.0,84.0,84.0,89.0,52.0,97.0,76.0,91.67
757,Jesse Kelly,male,False,19.0,84.0,65.0,83.0,99.0,86.0,75.0,67.0,74.67
758,Teresa Lee,female,False,33.0,87.0,98.0,97.0,70.0,80.0,67.0,82.0,84.0
759,Michael Aguirre,male,False,21.0,90.0,93.0,66.0,77.0,72.0,82.0,82.0,88.33
760,April Delgado,female,False,31.0,86.0,81.0,91.0,83.0,97.0,83.0,80.0,83.33
761,Troy Prince,male,False,3.0,48.0,72.0,64.0,65.0,64.0,55.0,79.0,58.33
762,Martha Summers,female,True,3.0,49.0,59.0,99.0,59.0,75.0,54.0,70.0,54.0
763,William Dean,male,True,30.0,90.0,83.0,72.0,77.0,99.0,84.0,67.0,85.67
764,Cheryl Gutierrez,female,True,1.0,40.0,51.0,93.0,100.0,76.0,60.0,99.0,50.33
765,Diane Spears,female,False,8.0,78.0,81.0,71.0,91.0,79.0,79.0,75.0,79.33
766,Brian David,male,False,29.0,87.0,68.0,75.0,96.0,91.0,72.0,78.0,75.67
767,Heather Brooks,female,False,18.0,79.0,81.0,68.0,70.0,60.0,65.0,71.0,75.0
768,Pamela Rodgers,female,False,4.0,100.0,100.0,94.0,83.0,62.0,92.0,71.0,97.33
769,Betty Nash,female,False,10.0,71.0,72.0,65.0,65.0,65.0,67.0,97.0,70.0
770,Heather Donaldson,female,False,32.0,77.0,64.0,69.0,60.0,92.0,76.0,74.0,72.33
771,Ebony Shepherd,female,False,32.0,83.0,84.0,96.0,96.0,79.0,80.0,81.0,82.33
772,Sean Thomas,male,False,16.0,96.0,79.0,80.0,71.0,67.0,76.0,63.0,83.67
773,Todd Howard,male,False,35.0,91.0,96.0,100.0,95.0,100.0,94.0,95.0,93.67
774,Julia Richmond,female,False,2.0,71.0,69.0,95.0,83.0,90.0,93.0,89.0,77.67
775,Mary Mccormick,female,False,27.0,84.0,80.0,75.0,63.0,71.0,86.0,63.0,83.33
776,Jimmy Warren,male,False,28.0,91.0,61.0,61.0,85.0,64.0,76.0,88.0,76.0
777,Henry Spencer,male,False,2.0,59.0,65.0,72.0,60.0,94.0,63.0,75.0,62.33
778,Peter Yates,male,False,42.0,89.0,90.0,91.0,95.0,87.0,92.0,96.0,90.33
779,Robert Campbell,male,False,31.0,81.0,92.0,68.0,93.0,69.0,78.0,89.0,83.67
780,Matthew Conway,male,False,15.0,77.0,84.0,86.0,97.0,90.0,83.0,92.0,81.33
781,Tyler Calderon,male,False,1.0,72.0,58.0,73.0,57.0,67.0,88.0,70.0,72.67
782,Brittney Moon,female,False,10.0,91.0,63.0,78.0,93.0,76.0,76.0,90.0,76.67
783,Tracy White,female,False,40.0,88.0,100.0,94.0,91.0,85.0,91.0,88.0,93.0
784,Gregory Welch,male,False,40.0,94.0,88.0,99.0,92.0,98.0,85.0,95.0,89.0
785,Caroline Cooper,female,False,8.0,67.0,72.0,98.0,65.0,61.0,87.0,89.0,75.33
786,Kelly Rivera,female,False,22.0,88.0,86.0,82.0,89.0,81.0,61.0,83.0,78.33
787,Stacey Wilson,female,False,21.0,67.0,67.0,62.0,80.0,61.0,61.0,82.0,65.0
788,Craig Graham,male,False,31.0,95.0,87.0,96.0,97.0,83.0,93.0,88.0,91.67
789,Earl Santana,male,False,10.0,96.0,91.0,78.0,94.0,81.0,88.0,86.0,91.67
790,Lisa Mitchell,female,False,35.0,87.0,99.0,99.0,100.0,98.0,96.0,94.0,94.0
791,Michael Williams,male,False,14.0,85.0,88.0,85.0,92.0,96.0,81.0,95.0,84.67
792,Jerry Jones,male,False,7.0,88.0,85.0,100.0,68.0,65.0,97.0,94.0,90.0
793,Matthew Miles,male,False,4.0,94.0,68.0,72.0,99.0,83.0,53.0,83.0,71.67
794,Mary Cox,female,False,14.0,67.0,100.0,77.0,85.0,73.0,95.0,86.0,87.33
795,Jessica Young,female,False,29.0,92.0,63.0,99.0,77.0,82.0,88.0,72.0,81.0
796,Tiffany Small,female,True,20.0,76.0,75.0,60.0,77.0,71.0,70.0,88.0,73.67
797,Mary Wyatt,female,False,24.0,86.0,75.0,96.0,62.0,81.0,91.0,84.0,84.0
798,Maria Mercer,female,False,27.0,94.0,94.0,86.0,62.0,73.0,90.0,75.0,92.67
799,Erin Moore,female,False,31.0,100.0,85.0,62.0,62.0,89.0,65.0,67.0,83.33
800,Kendra Dalton,female,False,27.0,74.0,84.0,71.0,93.0,65.0,98.0,61.0,85.33
801,Anthony Gomez,male,False,23.0,99.0,98.0,70.0,73.0,63.0,62.0,88.0,86.33
802,Molly Jackson,female,False,0.0,66.0,97.0,72.0,98.0,86.0,86.0,63.0,83.0
803,Brianna Gutierrez,female,False,35.0,99.0,96.0,100.0,95.0,90.0,95.0,88.0,96.67
804,John Henderson,male,False,33.0,97.0,76.0,99.0,85.0,98.0,62.0,97.0,78.33
805,Steven Martin,male,False,11.0,81.0,71.0,76.0,95.0,99.0,85.0,71.0,79.0
806,Tina Bowers,female,False,10.0,95.0,88.0,62.0,85.0,82.0,94.0,73.0,92.33
807,Luis Jones,male,True,3.0,55.0,69.0,53.0,75.0,86.0,95.0,61.0,73.0
808,Jeffrey Thomas,male,False,5.0,50.0,62.0,97.0,90.0,93.0,75.0,80.0,62.33
809,Jeffrey Cox,male,False,34.0,98.0,84.0,90.0,83.0,84.0,61.0,99.0,81.0
810,Jennifer Bautista,female,False,15.0,88.0,67.0,71.0,85.0,68.0,88.0,67.0,81.0
811,Judy Pugh,female,False,20.0,87.0,99.0,92.0,85.0,62.0,69.0,67.0,85.0
812,Henry Craig,male,False,3.0,73.0,74.0,94.0,76.0,97.0,86.0,85.0,77.67
813,Steven Alvarez,male,True,2.0,46.0,71.0,60.0,50.0,85.0,69.0,62.0,62.0
814,Rebecca Mckay,female,False,27.0,88.0,82.0,90.0,94.0,99.0,78.0,65.0,82.67
815,James Reynolds,male,True,29.0,95.0,62.0,68.0,64.0,71.0,87.0,60.0,81.33
816,Heather Bentley,female,False,2.0,73.0,71.0,60.0,70.0,78.0,72.0,78.0,72.0
817,Alexis Hall,female,False,9.0,70.0,88.0,100.0,91.0,98.0,68.0,81.0,75.33
818,Ryan Soto,male,False,14.0,84.0,100.0,99.0,94.0,84.0,86.0,63.0,90.0
819,Brent Clements,male,False,25.0,88.0,60.0,87.0,90.0,87.0,86.0,62.0,78.0
820,Thomas Hernandez,male,False,9.0,66.0,65.0,82.0,96.0,87.0,87.0,63.0,72.67
821,Kevin Mack,male,True,2.0,46.0,54.0,93.0,57.0,99.0,59.0,73.0,53.0
822,Patrick Kirk,male,False,31.0,71.0,92.0,60.0,73.0,74.0,86.0,94.0,83.0
823,Christopher Jenkins,male,False,3.0,76.0,77.0,99.0,87.0,95.0,94.0,85.0,82.33
824,Cassandra Hodges,female,False,12.0,78.0,95.0,66.0,70.0,75.0,99.0,84.0,90.67
825,Christian Powers,male,False,5.0,100.0,54.0,70.0,58.0,50.0,95.0,92.0,83.0
826,Brittany Collier,female,False,11.0,73.0,97.0,87.0,93.0,78.0,99.0,86.0,89.67
827,James Bridges,male,False,4.0,96.0,63.0,85.0,77.0,82.0,65.0,88.0,74.67
828,Alexander Fowler,male,False,25.0,82.0,84.0,93.0,70.0,99.0,66.0,80.0,77.33
829,Andrew Wong,male,False,33.0,81.0,91.0,71.0,79.0,98.0,69.0,75.0,80.33
